index,ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID,Cleaned Reviews
2119,99865,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEyR4lqLgXA1gS0cZzx9ZgUwV_nEh9ybtNSbPC0fVxL8UEzK5bKn_Q6te8pmsatY6l_AGjDi9QNxIoeAyM,I can't get out of here! Help!🥺🙄,1,0,debra waters,nan,87.0.4280.101,2021-01-08,com.android.chrome,get help
2160,99906,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEzKBQoxZZkAskhnDNF2Xyp-6YjqdF2GT_NbxWFTkuHM6SVDX9BoDvhoaEZBwVo4E0t49kTPfUVopNx0_U,Great,1,0,Mohammad Akhavanfard,nan,87.0.4280.141,2021-01-08,com.android.chrome,great
2178,99924,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF51_MfkDPaaDAIcJRXuPv5-xOMvlvlSI0-iSim1g2ow5euu1yEPhN0I3vB4IpxRkaDYe5IIBLyLUpiomI,He is a good app,1,0,Omkarमत Khande,nan,85.0.4183.127,2021-01-08,com.android.chrome,good app
2297,107631,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEjYrRp-CkjhUyGi90Z85LXWRV35JEgXy7dUfp9fdiMSefTt8zvn7hxg7cRwUZOWRBDiHw4jXbgL6xBJfw,Good,1,0,aseel bired sal,nan,42.0.2311.111,2021-01-10,com.android.chrome,good
2382,107716,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHMRIMC847UXnPw3DH8x5srHaTPC3cWya-w-gdUje59gVzp954NFx4_EtqyMmBwOPvRA2uP9x3A-n6ddSg,So good,1,0,Marygrace Loon,nan,83.0.4103.96,2021-01-10,com.android.chrome,good
2454,113042,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE1svN4-TMkt1NaBZgUJa5qDq6OceDhIwb_Ol6gtAWN32_7WVxhBJ4VxVQB09cAKQUDsH3y0TwHydpcg4k,Good,1,0,PRAMOD BARIK,nan,87.0.4280.101,2021-01-11,com.android.chrome,good
2532,119530,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGx4rBT67EiEH7b_fCTpzCj1KowJQoR4aP5PI_Sskixm3xBPCjY_KNgUndDsQw9qEMcA8RGV2A3jXjhE9o,Value saching,1,0,Makanjuola Odu,nan,35.0.1916.141,2021-01-12,com.android.chrome,value saching
2616,125698,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFP69K_BLT8XeY396-T_cAdk6-cNHpCd1I3Zpt8QX_SxOWXrlyyKKw5uUHRLiN0sJ2OouHg5Xyx6xVThRw,Good,1,0,Arun Verma,nan,87.0.4280.101,2021-01-13,com.android.chrome,good
2640,125722,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGVe8roVACEhBycWHXZIfeIKWFxAGi9De-Sj5QF2Ix7prOhirDS5PaMqUT8OT58qBX1nEQfs5BLSfzEecY,Good App,1,0,Tushar Panchal,nan,87.0.4280.141,2021-01-13,com.android.chrome,good app
2683,125765,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFRK-kS0Jam7G6r1IZBRXAOyFqf7cKLVsiPm-ISHCOQ-m8TxUlWwTH5ZedrazGdd-_5uncFCTeDtJL81sw,Good,1,0,Ganga Meena,nan,85.0.4183.81,2021-01-13,com.android.chrome,good
